iter	Passed	Remaining
0	220	220423
1	261	130467
2	301	100213
3	345	86006
4	388	77366
5	445	73808
6	511	72577
7	583	72415
8	651	71719
9	703	69680
10	764	68711
11	816	67265
12	875	66492
13	924	65095
14	1005	66003
15	1074	66111
16	1192	68973
17	1395	76113
18	1636	84495
19	1824	89402
20	1905	88825
21	1984	88218
22	2064	87681
23	2105	85634
24	2166	84507
25	2231	83604
26	2283	82298
27	2326	80779
28	2370	79374
29	2413	78045
30	2460	76918
31	2523	76341
32	2576	75490
33	2637	74940
34	2726	75180
35	2838	75995
36	2967	77241
37	3049	77190
38	3124	76986
39	3187	76503
40	3269	76479
41	3348	76377
42	3440	76563
43	3508	76225
44	3566	75684
45	3647	75636
46	3860	78276
47	4001	79356
48	4097	79516
49	4228	80334
50	4306	80130
51	4368	79641
52	4434	79227
53	4485	78581
54	4542	78047
55	4623	77933
56	4686	77524
57	4763	77364
58	4808	76686
59	4858	76117
60	4911	75597
61	4972	75230
62	5020	74668
63	5068	74122
64	5113	73549
65	5158	73002
66	5203	72454
67	5250	71961
68	5291	71401
69	5322	70709
70	5355	70073
71	5391	69488
72	5424	68879
73	5458	68308
74	5495	67781
75	5531	67247
76	5565	66717
77	5601	66213
78	5635	65705
79	5664	65143
80	5693	64593
81	5719	64031
82	5747	63498
83	5781	63047
84	5811	62564
85	5842	62097
86	5874	61644
87	5905	61206
88	5936	60769
89	5962	60286
90	5995	59890
91	6029	59510
92	6076	59261
93	6118	58976
94	6162	58704
95	6209	58474
96	6254	58226
97	6303	58020
98	6364	57924
99	6436	57930
100	6524	58073
101	6593	58045
102	6650	57914
103	6693	57671
104	6746	57505
105	6796	57323
106	6855	57217
107	6920	57154
108	7032	57488
109	7123	57636
110	7243	58015
111	7352	58298
112	7412	58186
113	7491	58220
114	7576	58307
115	7639	58219
116	7711	58199
117	7779	58151
118	7835	58005
119	7885	57824
120	7939	57674
121	7993	57526
122	8040	57327
123	8083	57103
124	8126	56883
125	8171	56683
126	8227	56553
127	8267	56321
128	8314	56137
129	8365	55982
130	8408	55779
131	8457	55611
132	8522	55557
133	8582	55466
134	8664	55516
135	8727	55446
136	8796	55414
137	8865	55375
138	8928	55306
139	8985	55195
140	9037	55059
141	9097	54968
142	9157	54882
143	9220	54808
144	9284	54744
145	9342	54649
146	9391	54496
147	9437	54329
148	9492	54214
149	9564	54200
150	9641	54210
151	9706	54154
152	9782	54154
153	9845	54084
154	9901	53979
155	10142	54872
156	10429	56000
157	10508	55999
158	10601	56072
159	10678	56063
160	10779	56176
161	10869	56224
162	10927	56111
163	10982	55981
164	11026	55800
165	11075	55646
166	11138	55558
167	11185	55396
168	11239	55268
169	11288	55116
170	11338	54966
171	11384	54806
172	11438	54680
173	11483	54515
174	11537	54391
175	11595	54286
176	11641	54129
177	11682	53950
178	11717	53745
179	11759	53571
180	11795	53374
181	11853	53274
182	11897	53116
183	11941	52959
184	11985	52802
185	12021	52610
186	12065	52455
187	12107	52294
188	12146	52121
189	12193	51982
190	12237	51833
191	12289	51718
192	12329	51554
193	12378	51429
194	12420	51274
195	12460	51113
196	12504	50970
197	12545	50817
198	12582	50645
199	12626	50506
200	12671	50371
